airport_id;airport_name;airport_code;country;country_code;city
142;Al Arish;AAC;Egypt;EG;Al Arish
143;Al Dhafra Military Apt;DHF;United Arab Emirates;AE;Abu Dhabi
144;Al Ghaydah;AAY;Yemen;YE;Al Ghaydah
145;Al Jafrah;DEZ;Syria;SY;Deirezzor
146;Al Janad;TAI;Yemen;YE;Taiz
147;Al Koude;WWG;Oman;OM;Al Koude
148;Al Muthana;BGW;Iraq;IQ;Baghdad
149;Al Railway;XXR;Norway;NO;Al
150;Al Thaurah;SOR;Syria;SY;Al Thaurah
151;Al Udeid;XJD;Qatar;QA;Al Udeid
152;Al-Aqiq;ABT;Saudi Arabia;SA;Al-Baha
153;Alah;AAV;Philippines;PH;Alah
154;Alahsa;HOF;Saudi Arabia;SA;Alahsa
155;Alakanuk;AUK;United States;US;Alakanuk
156;Alalamain Intl.;DBB;Egypt;EG;Dabaa City
157;Alama Iqbal International;LHE;Pakistan;PK;Lahore
158;Alamos;XAL;Mexico;MX;Alamos
159;Albany;ALH;Australia;AU;Albany
160;Albany;CVO;United States;US;Albany
161;Albany International;ALB;United States;US;Albany
162;Albany NAS;NAB;United States;US;Albany
163;Albany NY Rail;ZLY;United States;US;Albany
164;Albemarle;CHO;United States;US;Charlottesville
165;Albenga;ALL;Italy;IT;Albenga
166;Albert J Ellis;OAJ;United States;US;Jacksonville
167;Albert Lea;AEL;United States;US;Albert Lea
168;Alberto Lleras Camargo;SOX;Colombia;CO;Sogamoso
169;Albertus;FEP;United States;US;Freeport
170;Albina;ABN;Suriname;SR;Albina
171;Albuq;BUK;Yemen;YE;Albuq
172;Albuquerque International;ABQ;United States;US;Albuquerque
173;Albury;ABX;Australia;AU;Albury
174;Aldan;ADH;Russian Federation;RU;Aldan
175;Aleg;LEG;Mauritania;MR;Aleg
176;Alejo Garcia;AGT;Paraguay;PY;Ciudad del Este
177;Aleknagik;WKK;United States;US;Aleknagik
178;Aleneva;AED;United States;US;Aleneva
179;Alenquer;ALT;Brazil;BR;Alenquer
180;Alert;YLT;Canada;CA;Alert
181;Alert Bay;YAL;Canada;CA;Alert Bay
182;Alerta;ALD;Peru;PE;Alerta
183;Alex Hamilton;STX;Virgin Islands(U.S.;VI;St Croix Island
184;Alexander Field;ISW;United States;US;Wisconsin Rapids
185;Alexandra;ALR;New Zealand-Aotearoa;NZ;Alexandra
186;Alexandria;AXL;Australia;AU;Alexandria
187;Alexandria;AXN;United States;US;Alexandria
188;Alexandria Bay;AXB;United States;US;Alexandria Bay
189;Alexandria Internation;AEX;United States;US;Alexandria
190;Alexion;PKH;Greece;GR;Porto Kheli
191;Alfonso B. Aragon;CLO;Colombia;CO;Cali
192;Algeciras;AEI;Spain;ES;Algeciras
193;Algona;AXG;United States;US;Algona
194;Alicante;ALC;Spain;ES;Alicante
195;Alice Arm;ZAA;Canada;CA;Alice Arm
196;Alice Springs;ASP;Australia;AU;Alice Springs
197;Alice Springs Railway;XHW;Australia;AU;Alice Springs
198;Alisabieh;AII;Djibouti;DJ;Alisabieh
199;Alitak SPB;ALZ;United States;US;Alitak
200;Aljouf;AJO;Yemen;YE;Aljouf
201;Allakaket;AET;United States;US;Allakaket
202;Alldays;ADY;South Africa;ZA;Alldays
203;Allegheny County;AGC;United States;US;Pittsburgh
204;Allen County;AOH;United States;US;Lima
205;Alliance;AIA;United States;US;Alliance
206;Alluitsup Paa;LLU;Greenland;GL;Alluitsup Paa
207;Alma;YTF;Canada;CA;Alma
208;Almaty;ALA;Kazakhstan;KZ;Almaty
209;Almenara;AMJ;Brazil;BR;Almenara
210;Almeria;LEI;Spain;ES;Almeria
211;Along;IXV;India;IN;Along
212;Alor Island;ARD;Indonesia;ID;Alor Island
213;Alor Setar;AOR;Malaysia;MY;Alor Setar
214;Alowe;AWE;Gabon;GA;Alowe
215;Alpe Adria;KLU;Austria;AT;Klagenfurt
216;Alpe D Huez;AHZ;France;FR;Alpe D Huez
217;Alpena County Regional;APN;United States;US;Alpena
218;Alpha;ABH;Australia;AU;Alpha
219;Alpine;ALE;United States;US;Alpine
220;Alroy Downs;AYD;Australia;AU;Alroy Downs
221;Alta;ALF;Norway;NO;Alta
222;Alta Floresta;AFL;Brazil;BR;Alta Floresta
223;Alta Lake;YAE;Canada;CA;Alta Lake
224;Altai;LTI;Mongolia;MN;Altai
225;Altamira;ATM;Brazil;BR;Altamira
226;Altay;AAT;China;CN;Altay
227;Altenburg Nobitz;AOC;Germany;DE;Altenburg
228;Altenrhein;ACH;Switzerland;CH;Altenrhein
229;Alto Molocue;AME;Mozambique;MZ;Alto Molocue
230;Alto Palena;WAP;Chile;CL;Alto Palena
231;Alto Parnaiba;APY;Brazil;BR;Alto Parnaiba
232;Alto Rio Senguerr;ARR;Argentina;AR;Alto Rio Senguerr
233;Alton;ALN;United States;US;Alton
234;Alton Downs;AWN;Australia;AU;Alton Downs
235;Altus AFB;LTS;United States;US;Altus
236;Alula;ALU;Somalia;SO;Alula
237;Alvesta;XXA;Sweden;SE;Alvesta
238;Alyangula;GTE;Australia;AU;Groote Eylandt
239;Alyeska;AQY;United States;US;Alyeska
240;Am Timan;AMC;Guam;TD;Am Timan
241;Ama;AMF;Papua New Guinea;PG;Ama
242;Amahai;AHI;Indonesia;ID;Amahai
243;Amalfi;AFI;Colombia;CO;Amalfi
244;Amami O Shima;ASJ;Japan;JP;Amami O Shima
245;Amanab;AMU;Papua New Guinea;PG;Amanab
246;Amata;AMT;Australia;AU;Amata
247;Amata Kabua Intl;MAJ;Marshall Islands;MH;Majuro
248;Amausi;LKO;India;IN;Lucknow
249;Amazon Bay;AZB;Papua New Guinea;PG;Amazon Bay
250;Ambanja;IVA;Madagascar;MG;Ambanja
251;Ambatolahy;AHY;Madagascar;MG;Ambatolahy
252;Ambatomainty;AMY;Madagascar;MG;Ambatomainty
253;Ambatondrazaka;WAM;Madagascar;MG;Ambatondrazaka
254;Ambilobe;AMB;Madagascar;MG;Ambilobe
255;Ambler;ABL;United States;US;Ambler
256;Amboin;AMG;Papua New Guinea;PG;Amboin
257;Amborovy;MJN;Madagascar;MG;Majunga
258;Amboseli;ASV;Kenya;KE;Amboseli
259;Ambouli;JIB;Djibouti;DJ;Djibouti
260;Ambriz;AZZ;Angola;AO;Ambriz
261;Ambunti;AUJ;Papua New Guinea;PG;Ambunti
262;Amchitka;AHT;United States;US;Amchitka
263;Amderma;AMV;Russian Federation;RU;Amderma
264;Amedee AAF;AHC;United States;US;Herlong
265;American River;RCN;Australia;AU;American River
266;Ames;AMW;United States;US;Ames
267;Amilcar Cabral Intl;SID;Cape Verde;CV;Sal
268;Aminu Kano Intl Apt;KAN;Nigeria;NG;Kano
269;Ammaroo;AMX;Australia;AU;Ammaroo
270;Amook;AOS;United States;US;Amook
271;Amos;YEY;Canada;CA;Amos
272;Ampanihy;AMP;Madagascar;MG;Ampanihy
273;Ampara;ADP;Sri Lanka;LK;Ampara
274;Amparai;GOY;Sri Lanka;LK;Gal Oya
275;Amsterdam-Schiphol;AMS;The Netherlands;NL;Haarlemmermeer
276;An Shun/Huang Guo Shu;AVA;China;CN;An Shun
277;Anaa;AAA;French Polynesia;PF;Anaa
278;Anaco;AAO;Venezuela;VE;Anaco
279;Anacortes;OTS;United States;US;Anacortes
280;Anadolu University;AOE;Turkey;TR;Eskisehir
281;Anadyr;DYR;Russian Federation;RU;Anadyr
282;Anaheim;ANA;United States;US;Anaheim
283;Anahim Lake;YAA;Canada;CA;Anahim Lake
284;Anaktuvuk;AKP;United States;US;Anaktuvuk
285;Analalava;HVA;Madagascar;MG;Analalava
286;Anapa;AAQ;Russian Federation;RU;Anapa
287;Anapolis;APS;Brazil;BR;Anapolis
288;Ancud;ZUD;Chile;CL;Ancud
289;Andahuaylas;ANS;Peru;PE;Andahuaylas
290;Andakombe;ADC;Papua New Guinea;PG;Andakombe
291;Andamooka;ADO;Australia;AU;Andamooka
292;Andapa;ZWA;Madagascar;MG;Andapa
293;Andenes;ANX;Norway;NO;Andenes
294;Anderson;AND;United States;US;Anderson
295;Anderson AFB;UAM;Guam-USA;GU;Guam
296;Andes;ADN;Colombia;CO;Andes
297;Andizhan;AZN;Uzbekistan;UZ;Andizhan
298;Andorra La Vella H/P;ALV;;AD;Andorra La Vella
299;Andover;ADV;United Kingdom;GB;Andover
300;Andrau Airpark;AAP;United States;US;Houston
301;Andravida;PYR;Greece;GR;Pyrgos
302;Andrews;ADR;United States;US;Andrews
303;Andrews AFB;ADW;United States;US;Camp Springs
304;Andrews NAF;NSF;United States;US;Camp Springs
305;Andriamena;WAD;Madagascar;MG;Andriamena
306;Andros Town;ASD;Bahamas;BS;Andros Town
307;Andulo;ANL;Angola;AO;Andulo
308;Anegada;NGD;Virgin Islands-British;VG;Anegada
309;Aneityum;AUY;Vanuatu;VU;Aneityum
310;Anfa;CAS;Morocco;MA;Casablanca
311;Angel Fire;AXX;United States;US;Angel Fire
312;Angelholm;AGH;Sweden;SE;Angelholm/Helsingborg
313;Angelholm Railway Svc.;XYQ;Sweden;SE;Angelholm/Helsingborg
314;Anggi;AGD;Indonesia;ID;Anggi
315;Angling Lake;YAX;Canada;CA;Angling Lake
316;Angoche;ANO;Mozambique;MZ;Angoche
317;Angoon;AGN;United States;US;Angoon
318;Angoram;AGG;Papua New Guinea;PG;Angoram
319;Anguganak;AKG;Papua New Guinea;PG;Anguganak
320;Angus Downs;ANZ;Australia;AU;Angus Downs
321;Aniak;ANI;United States;US;Aniak
322;Animas Airpark;AMK;United States;US;Durango
323;Anita Bay;AIB;United States;US;Anita Bay
324;Aniwa;AWD;Vanuatu;VU;Aniwa
325;Ankang;AKA;China;CN;Ankang
326;Ankavandra;JVA;Madagascar;MG;Ankavandra
327;Ankazoabo;WAK;Madagascar;MG;Ankazoabo
328;Ankokoambo;NKO;Madagascar;MG;Ankokoambo
329;Annai;NAI;Guyana;GY;Annai
330;Annanberg;AOB;Papua New Guinea;PG;Annanberg
331;Annecy-Meythe;NCY;France;FR;Annecy
332;Annette Island;ANN;United States;US;Annette Island
333;Anqing;AQG;China;CN;Anqing
334;Anshan;AOG;China;CN;Anshan
335;Anta;ATA;Peru;PE;Anta
336;Antalya;AYT;Turkey;TR;Antalya
337;Antananarivo;TNR;Madagascar;MG;Antananarivo
338;Anthony;ANY;United States;US;Anthony
339;Anthony Lagoon;AYL;Australia;AU;Anthony Lagoon
340;Antlers;ATE;United States;US;Antlers
341;Antonio Maceo;SCU;Cuba;CU;Santiago
342;Antrim County;ACB;United States;US;Bellaire
343;Antsalova;WAQ;Madagascar;MG;Antsalova
344;Antsirabato;ANM;Madagascar;MG;Antalaha
345;Antsirabe;ATJ;Madagascar;MG;Antsirabe
346;Antsiranana/Arrachart;DIE;Madagascar;MG;Antsiranana
347;Antsohihy;WAI;Madagascar;MG;Antsohihy
348;Anuha Island Resort;ANH;Solomon Islands;SB;Anuha Island Resort
349;Anuradhapura;ACJ;Sri Lanka;LK;Anuradhapura
350;Anvik;ANV;United States;US;Anvik
351;Anyang;AYN;China;CN;Anyang
352;Aomori;AOJ;Japan;JP;Aomori
353;Ap In The Sky;CIB;United States;US;Catalina Island
354;Apalapsili;AAS;Indonesia;ID;Apalapsili
355;Apartado;APO;Colombia;CO;Apartado
356;Apataki;APK;French Polynesia;PF;Apataki
357;Apatzingan;AZG;Mexico;MX;Apatzingan
358;Apiay;API;Colombia;CO;Apiay
359;Apolo;APB;Bolivia;BO;Apolo
360;Apple Valley;APV;United States;US;Apple Valley
361;April River;APR;Papua New Guinea;PG;April River
362;Apucarana;APU;Brazil;BR;Apucarana
363;Araak;AJK;Iran;IR;Araak
364;Aracaju;AJU;Brazil;BR;Aracaju
365;Aracatuba;ARU;Brazil;BR;Aracatuba
366;Arad;ARW;Romania;RO;Arad
367;Aragarcas;ARS;Brazil;BR;Aragarcas
368;Aragip;ARP;Papua New Guinea;PG;Aragip
369;Araguaina;AUX;Brazil;BR;Araguaina
370;Aramac;AXC;Australia;AU;Aramac
371;Arandis;ADI;Namibia;NA;Arandis
372;Aransas County;RKP;United States;US;Rockport
373;Aranuka;AAK;Kiribati;KI;Aranuka
374;Arapahoe Co;APA;United States;US;Denver
375;Arapiraca;APQ;Brazil;BR;Arapiraca
376;Arapongas;APX;Brazil;BR;Arapongas
377;Arapoti;AAG;Brazil;BR;Arapoti
378;Arar;RAE;Saudi Arabia;SA;Arar
379;Araracuara;ACR;Colombia;CO;Araracuara
380;Ararat;ARY;Australia;AU;Ararat
381;Arauca;AUC;Colombia;CO;Arauca
382;Arauquita;ARQ;Colombia;CO;Arauquita
383;Arawa;RAW;Papua New Guinea;PG;Arawa
384;Araxa;AAX;Brazil;BR;Araxa
385;Araxos Airport;GPA;Greece;GR;Patras
386;Arba Mintch;AMH;Ethiopia;ET;Arba Mintch
387;Arbatax;TTB;Italy;IT;Tortoli
388;Arboletas;ARO;Colombia;CO;Arboletas
389;Arcata;ACV;United States;US;Arcata
390;Arctic Bay;YAB;Canada;CA;Arctic Bay
391;Arctic Village;ARC;United States;US;Arctic Village
392;Ardabil;ADU;Iran;IR;Ardabil
393;Ardmore;AMZ;New Zealand-Aotearoa;NZ;Ardmore
394;Ardmore Municipal Arpt;ADM;United States;US;Ardmore
395;Arecibo;ARE;Puerto Rico;PR;Arecibo
396;Argostolion;EFL;Greece;GR;Kefallinia
397;Argyle;GYL;Australia;AU;Argyle
398;Argyle Downs;AGY;Australia;AU;Argyle Downs
399;Aribinda;XAR;Burkina Faso;BF;Aribinda
400;Arica;ACM;Colombia;CO;Arica
401;Aripuana;AIR;Brazil;BR;Aripuana
402;Ariquemes;AQM;Brazil;BR;Ariquemes
403;Aristoteles Airport;KSO;Greece;GR;Kastoria
404;Arkalyk;AYK;Kazakhstan;KZ;Arkalyk
405;Arkansas City;WLD;United States;US;Winfield
406;Arkhangelsk;ARH;Russian Federation;RU;Arkhangelsk
407;Arlanda;ARN;Sweden;SE;Stockholm
408;Arlit;RLT;Niger;NE;Arlit
409;Arly;ARL;Burkina Faso;BF;Arly
410;Armidale;ARM;Australia;AU;Armidale
411;Armstrong;YYW;Canada;CA;Armstrong
412;Arnage;LME;France;FR;Le Mans
413;Arnes;YNR;Canada;CA;Arnes
414;Arno;AMR;Marshall Islands;MH;Arno
415;Arnold AFS;TUH;United States;US;Tullahoma
416;Aro;MOL;Norway;NO;Molde
417;Aroa;AOA;Papua New Guinea;PG;Aroa
418;Arona;AON;Papua New Guinea;PG;Arona
419;Aropa;KIE;Papua New Guinea;PG;Kieta
420;Arorae Island;AIS;Kiribati;KI;Arorae Island
421;Arpt De Gran Canaria;LPA;Spain;ES;Las Palmas
422;Arpt Luis R. Magalhaes;SSA;Brazil;BR;Salvador
423;Arpt. Jorge Newbery;AEP;Argentina;AR;Buenos Aires
424;Arrabury;AAB;Australia;AU;Arrabury
425;Arraias;AAI;Brazil;BR;Arraias
426;Arso;ARJ;Indonesia;ID;Arso
427;Arsuk;JRK;Greenland;GL;Arsuk
428;Artesia;ATS;United States;US;Artesia
429;Artigas;ATI;Uruguay;UY;Artigas
430;Arturo Merino Benitez;SCL;Chile;CL;Santiago
431;Arua;RUA;Uganda;UG;Arua
432;Aruja;ZFU;Brazil;BR;Aruja
433;Arusha;ARK;Tanzania;TZ;Arusha
434;Arutua;AXR;French Polynesia;PF;Arutua
435;Arvaikheer;AVK;Mongolia;MN;Arvaikheer
436;Arviat;YEK;Canada;CA;Arviat
437;Arvidsjaur;AJR;Sweden;SE;Arvidsjaur
438;Asahikawa;AKJ;Japan;JP;Asahikawa
439;Asaloyeh;YEH;Iran;IR;Asaloyeh
440;Asapa;APP;Papua New Guinea;PG;Asapa
441;Asau;AAU;Samoa;WS;Asau
442;Asbestos Hill;YAF;Canada;CA;Asbestos Hill
443;Asbury Park;ARX;United States;US;Neptune, NJ
444;Ascension;ASC;Bolivia;BO;Ascension
445;Ascona;ACO;Switzerland;CH;Ascona
446;Aseki;AEK;Papua New Guinea;PG;Aseki
447;Asela;ALK;Ethiopia;ET;Asela
448;Ashburton;ASG;New Zealand-Aotearoa;NZ;Ashburton
449;Ashcroft;YZA;Canada;CA;Ashcroft
450;Asheville Regional Airport;AVL;United States;US;Fletcher
451;Ashgabat;ASB;Turkmenistan;TM;Ashgabat
452;Ashland;ASX;United States;US;Ashland
453;Ashley;ASY;United States;US;Ashley
454;Ashtabula;JFN;United States;US;Jefferson
455;Asirim;ASZ;Papua New Guinea;PG;Asirim
456;Asmara International;ASM;Ethiopia;ET;Asmara
457;Asosa;ASO;Ethiopia;ET;Asosa
458;Aspen;ASE;United States;US;Aspen
459;Assab;ASA;Ethiopia;ET;Assab
460;Assis;AIF;Brazil;BR;Assis
461;Assiut;ATZ;Egypt;EG;Assiut
462;Astana;TSE;Kazakhstan;KZ;Astana
463;Astoria;AST;United States;US;Astoria
464;Astrakhan;ASF;Russian Federation;RU;Astrakhan
465;Asturias;OVD;Spain;ES;Asturias
466;Astypalaia;JTY;Greece;GR;Astypalaia Island
467;Aswan;ASW;Egypt;EG;Aswan
468;Atambua;ABU;Indonesia;ID;Atambua
469;Ataq;AXK;Yemen;YE;Ataq
470;Ataturk;IST;Turkey;TR;Istanbul
471;Atauro;AUT;Indonesia;ID;Atauro
472;Atbara;ATB;Sudan;SD;Atbara
473;Atbasar;ATX;Kazakhstan;KZ;Atbasar
474;Athens;AHN;United States;US;Athens
475;Ati;ATV;Chad;TD;Ati
476;Atikokan;YIB;Canada;CA;Atikokan
477;Atiu Island;AIU;Cook Islands;CK;Atiu Island
478;Atizapan;AZP;Mexico;MX;Mexico City
479;Atka;AKB;United States;US;Atka
480;Atkamba;ABP;Papua New Guinea;PG;Atkamba
481;Atlanta NAS;NCQ;United States;US;Marietta
482;Atlantic City Intl;ACY;United States;US;Atlantic City
483;Atmautluak;ATT;United States;US;Atmautluak
484;Atoifi;ATD;Solomon Islands;SB;Atoifi
485;Atqasuk;ATK;United States;US;Atqasuk
486;Attala County;OSX;United States;US;Kosciusko
487;Attawapiskat;YAT;Canada;CA;Attawapiskat
488;Attock;ATG;Pakistan;PK;Attock
489;Attopeu;AOU;Laos;LA;Attopeu
490;Atuona;AUQ;French Polynesia;PF;Atuona
491;Atyrau;GUW;Kazakhstan;KZ;Atyrau
492;Aua Island;AUI;Papua New Guinea;PG;Aua Island
493;Auburn;AUN;United States;US;Auburn
494;Auburn;LEW;United States;US;Lewiston
495;Auburn-Opelika;AUO;United States;US;Auburn
496;Auckland International;AKL;New Zealand-aotearoa;NZ;Auckland
497;Augsburg - Muehlhausen;AGB;Germany;DE;Augsburg
498;Augusta;AUG;United States;US;Augusta
499;Augusto C Sandino;MGA;Nicaragua;NI;Managua
500;Augusto Severo;NAT;Brazil;BR;Natal
501;Augustus Downs;AUD;Australia;AU;Augustus Downs
502;Aulnat;CFE;France;FR;Clermont-Ferrand
503;Ault Field;NUW;United States;US;Whidbey Island
504;Aumo;AUV;Papua New Guinea;PG;Aumo
505;Aupaluk;YPJ;Canada;CA;Aupaluk
506;Aur Island;AUL;Marshall Islands;MH;Aur Island
507;Aurillac;AUR;France;FR;Aurillac
508;Aurukun Mission;AUU;Australia;AU;Aurukun Mission
509;Austin;AUM;United States;US;Austin
510;Austin;ASQ;United States;US;Austin
511;Austin-straubel Field;GRB;United States;US;Green Bay
512;Austral Downs;AWP;Australia;AU;Austral Downs
513;Auvergne;AVG;Australia;AU;Auvergne
514;Aux Ab;GBI;Bahamas;BS;Grand Bahama
515;Aux Field;NRC;United States;US;Crows Landing
516;Auxerre Branches;AUF;France;FR;Auxerre
517;Avalo Vor/WP;SXC;United States;US;Catalina Island
518;Avalon;AVV;Australia;AU;Geelong
519;Avalon Bay;AVX;United States;US;Catalina Island
520;Avesta Krylbo;XYP;Sweden;SE;Avesta Krylbo
521;Aviano;AVB;Italy;IT;Aviano
522;Avignon Railway;XZN;France;FR;Avignon
523;Avignon-Caum;AVN;France;FR;Avignon
524;Avoriaz;AVF;France;FR;Avoriaz
525;Avra Valley;AVW;United States;US;Tucson
526;Avu Avu;AVU;Solomon Islands;SB;Avu Avu
